    xe         ye         ze        pxe        pye        pze
0.36596441 0.41888225 88.45943451 -0.17844470 -0.04287801 -0.01403066
0.04567449 0.25842947 88.29137421 -0.03227042 -0.07269747 -0.03263485
0.37686026 0.47315380 88.14471436 -0.07678886 -0.03706376 -0.16644169
0.38565761 0.52770317 88.29036713 -0.01929424 -0.02367431 -0.13086531
0.62113607 0.52714896 88.32753754 -0.12378450 0.01279324 -0.13957603
0.17762755 0.18513122 88.14153290 0.00967926 -0.05881767 -0.11743978
0.53456044 0.36643872 88.41145325 -0.01337067 0.00794893 -0.09195058
0.29470730 0.58648854 88.41516876 -0.12767357 0.05683501 -0.07232183
0.36831921 0.61598116 88.22715759 0.03317055 0.03935120 -0.06403857
0.30233234 0.06676533 88.14758301 0.01396000 -0.00693977 -0.00490737
0.29826486 0.18860257 88.24224091 -0.09770782 0.01384608 -0.04627421
0.28646511 0.29746401 88.22190857 -0.05466938 0.02261796 0.01264278
0.21469185 0.57622355 88.47642517 -0.01195532 -0.04509363 0.07636740
0.22653705 0.32260212 88.11707306 -0.01002024 0.04484532 -0.02051029
0.34803423 0.10467285 88.13792419 -0.05043763 -0.04727358 0.01136647
0.62297654 0.12224527 88.24358368 -0.00059549 0.00709142 0.03620616
0.40778744 0.44107071 88.41294098 0.05014161 0.09343890 -0.03551782
0.42375714 0.21274944 88.27510071 0.02208022 0.04071420 0.05762442
0.08335105 0.51192975 88.41142273 0.00883852 0.05089329 -0.06960269
0.46717426 0.59997398 88.32447815 -0.03356542 -0.07576175 0.06887992
0.14685398 0.31992835 88.30655670 -0.08102582 0.09110728 -0.07927034
0.13226438 0.24506155 88.19762421 0.00604806 0.08139478 0.03001723
0.06636154 0.13180535 88.45521545 0.01886053 -0.09024579 -0.01045251
0.26030877 0.59345937 88.10639191 0.10231446 0.02994834 -0.00640793
0.08827938 0.59405231 88.19393158 0.04636150 -0.05400653 -0.12173731
0.38945657 0.34587654 88.01103973 0.03650246 0.04076605 0.00331946
0.57330269 0.32628021 88.15381622 -0.01044057 -0.12495912 0.09990542
0.41447341 0.58178037 88.13316345 0.15371868 -0.03442926 0.08283108
0.17225072 0.03906132 88.27356720 0.01542464 0.03296872 0.17888966
0.10652449 0.53480834 88.45755768 0.14358729 0.06037356 0.05555201
0.21446162 0.23734394 88.43838501 0.24035724 0.04228757 0.04410160
0.34122238 0.24430695 88.05767059 -0.01875704 -0.09732662 0.06394529
0.51614362 0.36261165 88.13646698 -0.04437822 -0.00489989 0.16850536
0.44252208 0.07251432 88.08216858 -0.08467107 0.01353807 0.12624012
0.20110197 0.04640714 88.18506622 0.14640455 0.09547977 0.02221399
0.07863993 0.23850650 88.23983765 0.14950934 0.01254314 0.16834649
1.07456446 0.25085837 88.09963226 0.00103068 0.01621823 0.00366907
0.71479374 0.37394392 88.13873291 -0.08353516 0.03141043 -0.00135833
1.22679138 0.10573913 88.14265442 0.02259104 0.01000598 -0.01959676
0.73271400 0.47806856 88.14980316 0.00551216 -0.07025569 -0.07787319
1.13480759 0.43725798 88.39263916 -0.09526318 -0.00466116 0.01554853
0.95205349 0.26320842 88.09564209 -0.08162719 -0.05708627 -0.04442235
0.72864687 0.14567651 88.34214783 -0.11257149 -0.01227161 -0.05699957
0.88627732 0.07592681 88.49376678 -0.04845864 -0.03258866 -0.06901706
0.63930732 0.29860467 88.43358612 -0.04277397 -0.04872318 -0.09538614
1.10576320 0.40151924 88.44713593 -0.01094284 -0.01645821 -0.04447192
0.86864603 0.57422799 88.22903442 -0.03709956 0.03064728 -0.14053729
0.90736395 0.21948734 88.41351318 -0.04916289 0.01045024 -0.11598659
0.88878459 0.32104173 88.39700317 -0.01497384 -0.02852564 -0.11204585
0.96830964 0.18488927 88.13707733 -0.10676228 -0.03120987 -0.05452118
0.64801776 0.08130918 88.15457916 -0.03473214 -0.13581781 -0.03472374
1.15111768 0.21737282 88.13456726 -0.11592460 -0.17341165 -0.01306443
1.09284222 0.10923252 88.29136658 0.00326916 -0.12210140 -0.00857076
1.05288994 0.40710190 88.11440277 -0.01513641 0.03571543 -0.03484018
1.19264972 0.31944942 88.03909302 0.02116665 0.01687813 -0.08207661
1.09799147 0.22079957 88.40123749 0.06425817 0.00797469 0.01285810
1.12125182 0.51958841 88.28203583 -0.07164775 -0.09249267 -0.00380948
0.83807427 0.20093137 88.00173950 0.05230600 -0.09285434 -0.12834869
1.03898656 0.59300786 88.35696411 0.10976758 0.00795901 -0.14916302
0.75577152 0.61944771 88.17914581 0.02886015 0.04625913 -0.10813242
0.69695991 0.04861591 88.36961365 -0.03597608 -0.00064224 0.03026737
0.69561696 0.50809860 88.49757385 0.05182653 -0.07271894 0.00143285
0.68125886 0.36962330 88.48094940 0.01578421 0.02787159 -0.04868487
0.98100078 0.38069886 88.27057648 0.04260008 -0.04503349 0.01760925
0.71649253 0.24714267 88.42348480 -0.02443320 0.00957584 0.04018437
1.15516663 0.36695510 88.18022156 0.07454867 -0.13293715 0.01481889
1.20619929 0.49120805 88.39533234 0.11255685 -0.10620501 0.05256487
1.09496951 0.37418345 88.00903320 -0.04320330 -0.12655143 -0.00961532
0.64890873 0.35686103 88.10758972 0.11725967 0.02121139 -0.07521607
0.92057556 0.25786144 88.09068298 -0.05699722 0.05762333 -0.00976463
1.14021051 0.21296883 88.18070984 0.08896897 -0.00009451 0.04177612
0.73696446 0.38909420 88.32473755 0.06830855 0.03102721 0.05821538
1.07033980 0.06759240 88.49356842 0.09470209 -0.03898213 0.12639822
1.18301582 0.04093594 88.20711517 -0.00119054 -0.11812734 0.07387812
0.71500242 0.59869814 88.21536255 0.03894452 0.21030392 -0.06717764
1.18893671 0.14533040 88.13793182 -0.14841305 0.05823472 -0.07857550
1.22564840 0.48346928 88.38556671 0.07471878 0.05878203 0.15985402
0.63947535 0.47964242 88.24381256 -0.02023939 0.04830981 0.11839104
1.00438666 0.52042794 88.03588867 0.06267461 -0.15775752 0.01934800
0.84421432 0.04159425 88.20050049 -0.01020543 0.00662836 0.14264353
1.11218691 0.41014275 88.10204315 -0.10781345 0.06683878 0.07397352
0.95182586 0.11586960 88.15778351 -0.02898211 0.10034876 -0.04090985
1.13632500 0.05692504 88.05430603 0.02319574 0.04655480 0.02114096
1.14266145 0.33254853 88.05915833 -0.02762103 0.00614530 0.07102256
1.03245628 0.23090039 88.08760071 0.01733558 0.03148511 0.10033667
0.89048129 0.24221706 88.06180573 0.10277308 0.03747121 0.07849684
0.85135651 0.06223857 88.46348572 -0.01747905 0.13812207 0.01320035
0.69548649 0.12602304 88.06637573 -0.06974769 0.01261185 0.13685769
0.69090170 0.01212007 88.01541138 -0.09383431 0.01958034 0.02359351
0.69285780 0.00053263 88.39299011 -0.06258036 0.04565876 0.00467694
0.77039218 0.01804972 88.49550629 0.10769407 0.10634965 0.01911800
0.73481894 0.35601053 88.03837585 -0.15223345 0.04769309 0.20426318
1.60776091 0.59022629 88.30921173 -0.00272891 -0.00784672 -0.02460874
1.72077096 0.03350138 88.30080414 0.03324912 -0.05955939 -0.00425544
1.69100165 0.23036534 88.00260925 0.02423644 -0.05506115 -0.14360040
1.84933901 0.08632014 88.47809601 0.02478852 -0.03771105 -0.12344071
1.76069856 0.57531887 88.05284882 0.04509119 0.02804345 -0.14199010
1.55344665 0.06730796 88.27950287 -0.00286071 -0.01113086 0.02179115
1.67955172 0.52957171 88.35520935 0.08741008 -0.00850271 -0.03501527
1.31839180 0.23708305 88.37251282 -0.00687607 0.00199674 -0.18652733
1.62537515 0.49069065 88.42138672 -0.19476613 0.00319961 -0.09735005
1.49610376 0.45259711 88.12952423 0.08025739 -0.12910871 -0.06185582
1.83607841 0.45024079 88.42993164 -0.19093995 -0.11572412 0.01911964
1.57887125 0.03644551 88.05390167 -0.14766400 0.00879934 -0.07898799
1.44453263 0.60019678 88.40426636 -0.04069084 -0.04347076 0.01276880
1.46600401 0.12813318 88.48677826 0.11569560 -0.00071160 -0.14907840
1.32540369 0.46314657 88.20236206 0.05291726 0.05095627 -0.02843168
1.66635418 0.43657818 88.25842285 0.01095638 0.01486820 0.02027853
1.55695295 0.50229245 88.31319427 -0.03729557 -0.02260610 0.02712864
1.49407029 0.41850588 88.29269409 -0.00262637 -0.02531061 0.02917137
1.40177548 0.56346810 88.48598480 -0.05615537 0.01184713 0.06101902
1.63858557 0.29251549 88.36286163 0.00661673 0.05648425 -0.01956724
1.82709861 0.60545057 88.10423279 0.08562931 0.05639696 0.01453270
1.84518766 0.23865443 88.11679840 0.03025175 0.05434317 -0.01071968
1.85366321 0.15739861 88.03792572 -0.03141424 0.04270997 -0.10343470
1.25861514 0.06886281 88.30565643 0.04540383 -0.05685895 0.07501692
1.70223880 0.36374927 88.01501465 0.16040941 0.08822186 -0.06270004
1.63017416 0.11027414 88.36722565 0.14491048 0.02740510 0.05314919
1.73994648 0.23411690 88.34116364 0.14238566 0.05335510 0.07523333
1.72988713 0.51031446 88.35672760 -0.11961821 -0.02611304 0.08254662
1.67567313 0.60282683 88.40873718 0.01991006 0.17975916 0.05251123
1.77066076 0.24411902 88.18613434 -0.08553685 -0.07400858 0.04664791
1.59349358 0.18286753 88.39789581 0.08459792 0.00017318 0.11314127
1.30756044 0.49935600 88.17011261 -0.00046673 -0.18385684 0.05912156
1.46959245 0.46654058 88.23171234 -0.05006759 -0.07187606 0.10864270
1.50131881 0.45959434 88.26552582 -0.02495361 -0.01923002 0.14225136
1.38846052 0.05569723 88.06151581 -0.19109225 -0.10751358 0.04022515
1.65466106 0.55234689 88.04080200 -0.01728880 -0.07690953 0.02779029
1.28129256 0.59121972 88.06256104 0.05283245 -0.13936384 0.06255759
1.28805172 0.01053892 88.08260345 0.11330833 -0.01395564 0.09560638
1.65177810 0.01061181 88.23031616 -0.03429906 0.01952456 -0.04990935
1.34168971 0.18854775 88.06047058 -0.01434509 -0.02404961 0.12703797
1.39648604 0.22680548 88.10269165 0.09637028 -0.04329058 0.18289116
1.45124614 0.46287346 88.02720642 0.02566203 0.01465515 0.06636295
1.27773106 0.51194382 88.07120514 -0.03326032 0.05360953 0.12891121
2.44518828 0.37902156 88.33059692 -0.10213719 -0.04905531 -0.00185635
2.02817535 0.32169947 88.10933685 -0.04537695 -0.11776643 -0.01801703
2.36667967 0.59020060 88.41828918 0.01344158 -0.09583328 -0.05669398
1.93228507 0.58681595 88.24854279 -0.02366563 -0.02623441 -0.02650359
2.37381792 0.50877047 88.07855988 0.08449206 -0.04573086 -0.11630649
2.25972652 0.16819419 88.42644501 -0.02762445 -0.07608378 -0.11750036
2.09717250 0.43252128 88.14096069 0.03755448 -0.01613048 -0.02480737
1.88786566 0.50046408 88.21491241 0.01831868 -0.16171561 -0.05821746
2.24035430 0.39314660 88.24169159 -0.12472546 -0.07100545 -0.13993557
2.44738269 0.60603148 88.48880005 -0.13973345 -0.04047002 0.00535654
2.19652009 0.45757103 88.16131592 -0.00262239 0.02106128 -0.01579363
2.33470178 0.23757735 88.04840851 -0.16208896 -0.04783507 -0.06582738
2.26875019 0.20188682 88.07810974 0.06689527 0.00138084 -0.16196541
2.33553267 0.59375912 88.43570709 -0.21300532 -0.03211636 -0.06833355
2.17465711 0.60173345 88.25513458 -0.18668030 0.03058949 -0.00124522
2.29684877 0.56311786 88.22013092 -0.01475520 0.04091704 -0.05093569
2.36566329 0.62430465 88.44293976 0.04011668 0.05109136 -0.04679557
2.07111621 0.44507086 88.11105347 -0.07058824 0.05860651 -0.06653154
2.37052965 0.60990179 88.16605377 0.09919431 0.05717729 0.00604717
1.95919776 0.10355823 88.24953461 -0.03350129 -0.07442982 0.01952222
2.06110716 0.31082839 88.19634247 -0.01661832 0.01980095 0.01998143
1.99866974 0.20484841 88.29033661 0.18042900 -0.03975432 0.02082498
2.46089363 0.35159433 88.40419769 0.05529872 0.03311002 -0.00624979
2.02725363 0.44123602 88.15744019 -0.10352180 0.06623713 0.01071067
2.14690876 0.60149455 88.24626160 0.00827502 0.08212551 -0.14855118
2.28256965 0.24229887 88.37380981 0.02076612 -0.01132079 0.05717419
2.36089230 0.17264807 88.10413361 0.05355516 0.03450104 -0.00439769
2.09886837 0.54109508 88.17350006 -0.00019359 0.00188216 0.02675485
2.43109536 0.38558435 88.10211182 0.01483936 0.09222560 0.01813062
2.46110749 0.28004527 88.21173859 -0.04160604 0.01312598 0.05317985
2.47098613 0.30703199 88.32191467 -0.09470379 -0.15011519 0.06443703
1.87743652 0.48763299 88.22582245 0.03590327 0.13742675 0.02428010
2.40992093 0.38888982 88.40621185 0.01188409 0.10227620 0.09031352
1.97956562 0.58474523 88.47865295 -0.04475044 0.05199035 0.14816904
2.37142920 0.07858349 88.18796539 -0.00127692 0.03504600 0.03776420
2.43411827 0.41002083 88.32689667 -0.15226585 -0.00622854 0.15035014
2.49693155 0.57494098 88.14160156 0.04663972 0.04777309 0.06436046
1.89938927 0.27806687 88.13377380 0.06871640 0.16269502 0.03305473
1.99989784 0.09890055 88.16159058 0.02500588 0.01315005 0.08738868
2.31217766 0.12723449 88.23081207 -0.00748127 0.11399934 0.00186992
2.18447852 0.04233746 88.37675476 -0.02512616 0.08006481 0.03706633
2.22575450 0.03263476 88.02482605 -0.00007007 -0.09624655 0.04220075
2.11680865 0.01934719 88.48438263 -0.02853144 0.07131515 0.03543361
2.31765938 0.00088024 88.23026276 0.00009898 0.01663892 -0.08313778
2.16247535 0.24843174 88.03002167 0.04873203 0.07141296 0.14870219
2.40027189 0.04544541 88.00431061 -0.01329071 0.04001906 0.08906563
2.78283143 0.16218477 88.46266937 0.00726852 -0.12916383 0.01452692
2.84235549 0.24739994 88.08782959 0.03297009 -0.02498633 0.00092083
2.69310403 0.36461067 88.17813110 0.05555379 -0.11023506 -0.01437500
2.73763776 0.31657884 88.13354492 -0.04100585 0.00322431 -0.04754050
2.93516898 0.21963309 88.03846741 -0.03345345 -0.06515650 -0.08772375
2.59661770 0.11697701 88.29142761 0.03645568 -0.02222697 -0.07091909
2.71421838 0.20589155 88.06229401 -0.00683472 -0.00989538 -0.06133694
3.01558137 0.52771896 88.23986053 -0.00945178 -0.03132575 -0.10096720
2.54710269 0.35667688 88.47959137 0.00597883 -0.09306265 -0.08822060
2.99347949 0.25823462 88.01305389 -0.05163594 -0.05625138 -0.15814048
2.75572515 0.31387681 88.28771210 -0.04434216 -0.01734973 -0.13428368
3.10073686 0.21103704 88.12574768 0.01907815 -0.08625600 -0.11768111
2.69935894 0.26955014 88.32707214 -0.08395919 -0.01172888 -0.02910257
2.84307456 0.54582298 88.01957703 -0.03001210 0.02452397 -0.11936219
2.81925464 0.29699641 88.36473846 0.01726812 -0.01938505 0.02418726
3.01424003 0.56113392 88.39675903 0.06207786 -0.00481002 0.01188796
2.94538879 0.05673157 88.23376465 0.02743205 -0.01681684 0.03016895
3.10138416 0.36635712 88.09328461 -0.17769007 0.01291392 -0.07416933
2.81752419 0.18697989 88.29541779 -0.11933581 -0.09431859 0.01267004
2.70757389 0.26900694 88.35157776 0.09360093 -0.01378637 0.04498536
2.58404446 0.15527515 88.45997620 -0.03895557 -0.02852954 0.06485604
2.63046527 0.35573423 88.39241028 -0.04720527 0.03091346 -0.02058768
2.97244263 0.47609949 88.18142700 -0.10300415 0.06256624 -0.02101531
